iteration,S
0,-0
1,-21.0393
2,-32.2344
3,-40.1688
4,-46.5633
5,-52.0488
6,-56.9244
7,-61.3581
8,-65.4521
9,-69.2751
10,-72.8762
11,-76.2915
12,-79.5486
13,-82.6685
14,-85.6679
15,-88.5598
16,-91.3548
17,-94.0617
18,-96.6875
19,-99.2379
20,-101.717
21,-104.125
22,-106.462
23,-108.724
24,-110.916
25,-113.06
26,-115.2
27,-117.399
28,-119.717
29,-122.186
30,-124.803
31,-127.527
32,-130.307
33,-133.094
34,-135.858
35,-138.592
36,-141.308
37,-144.022
38,-146.74
39,-149.454
40,-152.144
41,-154.788
42,-157.367
43,-159.868
44,-162.287
45,-164.623
46,-166.878
47,-169.053
48,-171.15
49,-173.167
50,-175.103
51,-176.956
52,-178.729
53,-180.433
54,-182.091
55,-183.744
56,-185.45
57,-187.271
58,-189.252
59,-191.397
60,-193.656
61,-195.929
62,-198.09
63,-200.028
64,-201.677
65,-203.032
66,-204.142
67,-205.082
68,-205.927
69,-206.732
70,-207.531
71,-208.338
72,-209.153
73,-209.973
74,-210.803
75,-211.642
76,-212.491
77,-213.349
78,-214.214
79,-215.078
80,-215.935
81,-216.782
82,-217.615
83,-218.438
84,-219.25
85,-220.05
86,-220.834
87,-221.604
88,-222.368
89,-223.138
90,-223.933
91,-224.771
92,-225.662
93,-226.599
94,-227.558
95,-228.5
96,-229.387
97,-230.194
98,-230.926
99,-231.612
100,-232.28
101,-232.936
102,-233.564
103,-234.139
104,-234.655
105,-235.12
106,-235.545
107,-235.939
108,-236.306
109,-236.653
110,-236.983
111,-237.298
112,-237.603
113,-237.9
114,-238.19
115,-238.477
116,-238.759
117,-239.036
118,-239.309
119,-239.578
120,-239.844
121,-240.106
122,-240.367
123,-240.627
124,-240.888
125,-241.321
126,-241.794
127,-242.192
128,-242.541
129,-242.876
130,-243.185
131,-243.476
132,-243.762
133,-244.044
134,-244.326
135,-244.608
136,-244.892
137,-245.175
138,-245.452
139,-245.719
140,-245.973
141,-246.21
142,-246.431
143,-246.635
144,-246.827
145,-247.007
146,-247.178
147,-247.343
148,-247.502
149,-247.658
150,-247.815
