i,j,value
-27,-22,0.000355388
-27,-21,0.000388754
-27,-20,0.000420995
-27,-19,0.000452034
-27,-18,0.000481792
-27,-17,0.000510196
-27,-16,0.000537172
-27,-15,0.000562651
-27,-14,0.000586566
-27,-13,0.000608854
-27,-12,0.000629456
-27,-11,0.000648317
-27,-10,0.000665387
-27,-9,0.000680622
-27,-8,0.000693983
-27,-7,0.000705436
-27,-6,0.000714954
-27,-5,0.000722517
-27,-4,0.000728111
-27,-3,0.000731729
-27,-2,0.00073337
-27,-1,0.000733041
-27,0,0.000730755
-27,1,0.000726531
-27,2,0.000720397
-27,3,0.000712385
-27,4,0.000702533
-27,5,0.000690887
-27,6,0.000677497
-27,7,0.000662417
-27,8,0.000645707
-27,9,0.000627431
-27,10,0.000607656
-27,11,0.000586454
-27,12,0.000563898
-27,13,0.000540066
-27,14,0.000515034
-27,15,0.000488883
-27,16,0.000461694
-27,17,0.00043355
-27,18,0.000404534
-27,19,0.000374727
-27,20,0.000344214
-27,21,0.000313077
-27,22,0.000281399
-27,23,0.000249261
-27,24,0.000216746
-27,25,0.000183935
-27,26,0.000150906
-27,27,0.00011774
-27,28,8.45143e-05
-27,29,5.13072e-05
-27,30,1.81954e-05
-27,31,0
-26,-31,0
-26,-30,6.9629e-05
-26,-29,0.000116798
-26,-28,0.000163409
-26,-27,0.000209362
-26,-26,0.000254555
-26,-25,0.000298889
-26,-24,0.000342265
-26,-23,0.000384582
-26,-22,0.000425745
-26,-21,0.000465655
-26,-20,0.000504217
-26,-19,0.000541338
-26,-18,0.000576924
-26,-17,0.000610888
-26,-16,0.000643142
-26,-15,0.000673603
-26,-14,0.000702191
-26,-13,0.00072883
-26,-12,0.000753451
-26,-11,0.000775988
-26,-10,0.000796382
-26,-9,0.000814579
-26,-8,0.000830533
-26,-7,0.000844205
-26,-6,0.000855562
-26,-5,0.00086458
-26,-4,0.000871242
-26,-3,0.000875541
-26,-2,0.000877475
-26,-1,0.000877052
-26,0,0.000874289
-26,1,0.00086921
-26,2,0.000861845
-26,3,0.000852235
-26,4,0.000840425
-26,5,0.000826469
-26,6,0.000810427
-26,7,0.000792365
-26,8,0.000772354
-26,9,0.00075047
-26,10,0.000726794
-26,11,0.000701411
-26,12,0.000674409
-26,13,0.00064588
-26,14,0.000615917
-26,15,0.000584616
-26,16,0.000552074
-26,17,0.00051839
-26,18,0.000483661
-26,19,0.000447988
-26,20,0.00041147
-26,21,0.000374207
-26,22,0.000336296
-26,23,0.000297836
-26,24,0.000258926
-26,25,0.00021966
-26,26,0.000180136
-26,27,0.000140448
-26,28,0.000100691
-26,29,6.09557e-05
