iteration,S
0,-0
1,-1.36965
2,-2.96943
3,-4.88531
4,-6.27692
5,-7.95634
6,-9.5837
7,-11.1669
8,-12.2752
9,-13.9037
10,-15.3632
11,-17.0092
12,-18.4588
13,-19.8015
14,-21.2901
15,-22.5812
16,-23.5313
17,-24.8048
18,-26.0432
19,-26.9696
20,-28.1971
21,-29.4305
22,-30.6115
23,-31.6519
24,-32.9375
25,-33.8465
26,-34.9499
27,-36.5067
28,-37.8197
29,-39.0463
30,-40.3963
31,-41.893
32,-43.491
33,-45.014
34,-46.2087
35,-47.4417
36,-48.6182
37,-49.9247
38,-50.7879
39,-52.0914
40,-53.1753
41,-54.1659
42,-55.3209
43,-56.609
44,-58.031
45,-59.1387
46,-60.2363
47,-61.1958
48,-62.3081
49,-63.4451
50,-64.4161
51,-65.5155
52,-66.4057
53,-67.4182
54,-68.693
55,-70.0486
56,-71.1331
57,-72.324
58,-73.0478
59,-74.3514
60,-75.0103
61,-76.3468
62,-77.5533
63,-78.5201
64,-79.3426
65,-80.2407
66,-81.3496
67,-82.1834
68,-82.9053
69,-83.8641
70,-84.9947
71,-85.9202
72,-87.2251
73,-88.3044
74,-89.5036
75,-90.3112
76,-91.1951
77,-92.5717
78,-93.6868
79,-95.0265
80,-96.029
81,-97.0363
82,-98.1658
83,-99.066
84,-99.721
85,-100.749
86,-101.523
87,-102.421
88,-103.371
89,-104.471
90,-105.008
91,-106.251
92,-107.584
93,-108.09
94,-109.071
95,-110.089
96,-110.919
97,-111.578
98,-112.655
99,-113.178
100,-114.113
101,-115.031
102,-115.846
103,-116.497
104,-117.162
105,-117.768
106,-118.553
107,-119.426
108,-120.328
109,-121.12
110,-122.038
111,-122.649
112,-123.987
113,-124.82
114,-125.709
115,-126.389
116,-127.296
117,-128.22
118,-129.054
119,-129.851
120,-130.342
121,-131.142
122,-131.658
123,-132.729
124,-133.594
125,-134.415
126,-135.238
127,-135.829
128,-136.23
129,-136.814
130,-137.425
131,-138.191
132,-138.725
133,-139.306
134,-139.96
135,-140.627
136,-141.319
137,-142.001
138,-142.643
139,-143.295
140,-143.975
141,-144.618
142,-145.563
143,-146.28
144,-146.802
145,-147.346
146,-147.982
147,-148.468
148,-149.123
149,-149.989
150,-150.616
151,-151.303
152,-151.864
153,-152.388
154,-153.042
155,-153.773
156,-154.435
157,-154.925
158,-155.583
159,-156.173
160,-156.67
161,-157.361
162,-158.178
163,-158.702
164,-159.175
165,-159.813
166,-160.381
167,-161.266
168,-161.932
169,-162.552
170,-163.032
171,-163.47
172,-164.021
173,-164.461
174,-164.944
175,-165.64
176,-165.97
177,-166.394
178,-166.949
179,-167.487
180,-167.931
181,-168.617
182,-169.278
183,-169.861
184,-170.326
185,-170.681
186,-171.152
187,-171.533
188,-171.961
189,-172.426
190,-172.785
191,-173.493
192,-173.953
193,-174.359
194,-174.83
195,-175.215
196,-175.811
197,-176.205
198,-176.652
199,-177.041
200,-177.415
201,-177.903
202,-178.317
203,-178.734
204,-179.047
205,-179.482
206,-180.107
207,-180.381
208,-180.77
209,-181.369
210,-181.757
211,-182.042
212,-182.425
213,-182.693
214,-183.122
215,-183.608
216,-184.145
217,-184.459
218,-184.8
219,-185.048
220,-185.375
221,-185.783
222,-186.201
223,-186.664
224,-187.001
225,-187.394
226,-187.69
227,-188.114
228,-188.482
229,-188.962
230,-189.255
231,-189.675
232,-190.028
233,-190.493
234,-190.832
235,-191.23
236,-191.47
237,-191.809
238,-192.095
239,-192.365
240,-192.724
241,-193.129
242,-193.351
243,-193.656
244,-193.928
245,-194.271
246,-194.6
247,-194.926
248,-195.218
249,-195.42
250,-195.75
251,-196.062
252,-196.377
253,-196.69
254,-196.99
255,-197.251
256,-197.531
257,-197.806
258,-198.092
259,-198.307
260,-198.57
261,-198.899
262,-199.116
