iteration,S
1,-19.4904
2,-36.4041
3,-51.2123
4,-64.2782
5,-75.887
6,-86.2653
7,-95.5957
8,-104.027
9,-111.68
10,-118.658
11,-125.044
12,-130.909
13,-136.314
14,-141.311
15,-145.943
16,-150.249
17,-154.261
18,-158.008
19,-161.516
20,-164.806
21,-167.898
22,-170.809
23,-173.555
24,-176.149
25,-178.603
26,-180.928
27,-183.134
28,-185.23
29,-187.224
30,-189.123
31,-190.934
32,-192.662
33,-194.313
34,-195.893
35,-197.405
36,-198.855
37,-200.245
38,-201.579
39,-202.861
40,-204.093
41,-205.279
42,-206.421
43,-207.521
44,-208.582
45,-209.605
46,-210.593
47,-211.547
48,-212.47
49,-213.362
50,-214.225
51,-215.061
52,-215.871
53,-216.655
54,-217.416
55,-218.154
56,-218.87
57,-219.565
58,-220.24
59,-220.896
60,-221.534
61,-222.154
62,-222.758
63,-223.345
64,-223.917
65,-224.474
66,-225.016
67,-225.545
68,-226.06
69,-226.563
70,-227.053
71,-227.531
72,-227.998
73,-228.454
74,-228.899
75,-229.334
76,-229.759
77,-230.174
78,-230.58
79,-230.977
80,-231.365
81,-231.744
82,-232.116
83,-232.48
84,-232.836
85,-233.184
86,-233.526
87,-233.86
88,-234.187
89,-234.508
90,-234.823
91,-235.131
92,-235.434
93,-235.73
94,-236.021
95,-236.306
96,-236.586
97,-236.86
98,-237.13
99,-237.394
100,-237.654
101,-237.909
102,-238.159
103,-238.405
104,-238.646
105,-238.883
106,-239.116
107,-239.345
108,-239.57
109,-239.791
110,-240.008
111,-240.222
112,-240.432
113,-240.638
114,-240.841
115,-241.041
116,-241.237
117,-241.431
118,-241.621
119,-241.807
120,-241.991
121,-242.172
122,-242.35
123,-242.526
124,-242.698
125,-242.868
126,-243.035
127,-243.199
128,-243.361
129,-243.521
130,-243.678
131,-243.832
132,-243.984
133,-244.134
134,-244.282
135,-244.427
136,-244.571
137,-244.712
138,-244.851
139,-244.988
140,-245.122
141,-245.255
142,-245.386
143,-245.515
144,-245.642
145,-245.768
146,-245.891
147,-246.013
148,-246.133
149,-246.251
150,-246.368
151,-246.483
152,-246.596
153,-246.707
154,-246.818
155,-246.926
156,-247.033
157,-247.138
158,-247.242
159,-247.345
160,-247.446
161,-247.546
