iteration,S
0,-0
1,-30.7777
2,-47.0705
3,-58.6134
4,-67.8592
5,-75.7231
6,-82.6467
7,-88.8805
8,-94.5793
9,-99.848
10,-104.761
11,-109.374
12,-113.729
13,-117.859
14,-121.79
15,-125.541
16,-129.132
17,-132.575
18,-135.882
19,-139.063
20,-142.125
21,-145.071
22,-147.901
23,-150.613
24,-153.21
25,-155.714
26,-158.173
27,-160.655
28,-163.224
29,-165.919
30,-168.737
31,-171.639
32,-174.571
33,-177.479
34,-180.329
35,-183.108
36,-185.826
37,-188.496
38,-191.127
39,-193.717
40,-196.254
41,-198.723
42,-201.107
43,-203.398
44,-205.59
45,-207.682
46,-209.676
47,-211.574
48,-213.377
49,-215.085
50,-216.697
51,-218.211
52,-219.626
53,-220.949
54,-222.195
55,-223.395
56,-224.595
57,-225.845
58,-227.188
59,-228.637
60,-230.166
61,-231.707
62,-233.174
63,-234.485
64,-235.59
65,-236.481
66,-237.188
67,-237.761
68,-238.252
69,-238.702
70,-239.137
71,-239.569
72,-240.002
73,-240.435
74,-240.869
75,-241.306
76,-241.745
77,-242.182
78,-242.617
79,-243.045
80,-243.465
81,-243.873
82,-244.269
83,-244.654
84,-245.028
85,-245.391
86,-245.742
87,-246.081
88,-246.412
89,-246.74
90,-247.073
91,-247.418
92,-247.78
93,-248.16
94,-248.548
95,-248.93
96,-249.289
97,-249.61
98,-249.89
99,-250.138
100,-250.367
101,-250.585
102,-250.79
103,-250.976
104,-251.139
105,-251.283
106,-251.413
107,-251.532
108,-251.642
109,-251.745
110,-251.842
111,-251.934
112,-252.022
113,-252.107
114,-252.189
115,-252.27
116,-252.348
117,-252.425
118,-252.499
119,-252.572
120,-252.642
121,-252.711
122,-252.779
123,-252.845
124,-252.91
125,-253.018
126,-253.134
127,-253.229
128,-253.308
129,-253.383
130,-253.451
131,-253.514
132,-253.575
133,-253.634
134,-253.691
135,-253.748
136,-253.805
137,-253.861
138,-253.916
139,-253.968
140,-254.018
141,-254.065
142,-254.107
143,-254.146
144,-254.181
145,-254.213
146,-254.242
147,-254.27
148,-254.295
149,-254.319
150,-254.343
151,-254.366
152,-254.391
153,-254.417
154,-254.444
155,-254.473
156,-254.503
157,-254.531
158,-254.558
159,-254.581
160,-254.601
161,-254.617
162,-254.631
163,-254.643
164,-254.654
165,-254.665
166,-254.676
167,-254.687
168,-254.697
169,-254.708
170,-254.718
171,-254.729
172,-254.739
173,-254.75
174,-254.761
175,-254.771
176,-254.782
