iteration,S
0,-0
1,-7.46296e-10
2,-1.34356e-09
3,-1.10015e-09
4,-1.08909e-09
5,-1.01396e-09
6,-1.14716e-09
7,-1.29742e-09
8,-1.36952e-09
9,-1.61948e-09
10,-1.61069e-09
11,-1.62051e-09
12,-1.5391e-09
13,-1.54193e-09
14,-1.41387e-09
15,-1.42845e-09
16,-1.43181e-09
17,-1.45281e-09
18,-1.45989e-09
19,-1.32842e-09
20,-1.26741e-09
21,-1.26561e-09
22,-1.09625e-09
23,-1.05727e-09
24,-1.08194e-09
25,-1.2011e-09
26,-1.13769e-09
27,-1.02986e-09
28,-1.0741e-09
29,-1.08716e-09
30,-1.09442e-09
31,-1.13207e-09
32,-1.09991e-09
33,-1.1522e-09
34,-1.11131e-09
35,-1.10347e-09
36,-1.22888e-09
37,-1.15922e-09
38,-1.24277e-09
39,-1.17827e-09
40,-1.15757e-09
41,-1.27895e-09
42,-1.49868e-09
43,-1.6577e-09
44,-1.72841e-09
45,-1.6665e-09
46,-1.6821e-09
47,-1.73626e-09
48,-1.7729e-09
49,-1.85742e-09
50,-1.76202e-09
51,-1.76321e-09
52,-1.87183e-09
53,-1.90452e-09
54,-1.83371e-09
55,-1.841e-09
56,-1.7491e-09
57,-1.95668e-09
58,-1.91895e-09
59,-1.77797e-09
60,-1.85072e-09
61,-1.90109e-09
62,-1.86752e-09
63,-1.68092e-09
64,-1.8027e-09
65,-1.76385e-09
66,-1.9545e-09
67,-2.00854e-09
68,-2.11263e-09
69,-2.13126e-09
70,-2.26638e-09
71,-2.38824e-09
72,-2.50352e-09
73,-2.52764e-09
74,-2.45202e-09
75,-2.60998e-09
76,-2.60833e-09
77,-2.70752e-09
78,-2.71778e-09
79,-2.86417e-09
80,-2.87689e-09
81,-2.92999e-09
82,-2.92257e-09
83,-2.94851e-09
84,-2.98557e-09
85,-3.00305e-09
86,-2.91413e-09
87,-2.89933e-09
88,-2.81036e-09
89,-2.71482e-09
90,-2.82387e-09
91,-2.90494e-09
92,-2.73156e-09
93,-2.47165e-09
94,-2.55505e-09
95,-2.92432e-09
96,-2.88297e-09
97,-2.86851e-09
98,-2.71921e-09
99,-2.82343e-09
100,-2.59233e-09
101,-2.62112e-09
102,-2.68752e-09
103,-2.57719e-09
104,-2.50522e-09
105,-2.60535e-09
106,-2.75353e-09
107,-2.80418e-09
108,-2.83013e-09
109,-2.8929e-09
110,-3.00783e-09
111,-3.06372e-09
112,-3.09274e-09
113,-3.12547e-09
114,-3.13268e-09
115,-3.15851e-09
116,-3.27529e-09
117,-3.44307e-09
118,-3.54871e-09
119,-3.61747e-09
120,-3.69968e-09
121,-3.74073e-09
122,-3.80938e-09
123,-3.8168e-09
124,-3.82369e-09
125,-3.85321e-09
126,-3.90967e-09
127,-3.81788e-09
128,-3.89328e-09
129,-3.93965e-09
130,-3.94411e-09
131,-3.81934e-09
132,-3.82553e-09
133,-3.50279e-09
134,-3.55244e-09
135,-3.20463e-09
136,-3.14354e-09
137,-3.03351e-09
138,-3.29217e-09
139,-3.42877e-09
140,-3.58662e-09
141,-3.67788e-09
142,-3.75747e-09
143,-4.03175e-09
144,-4.04598e-09
145,-3.91998e-09
146,-3.84438e-09
147,-3.94074e-09
148,-4.23004e-09
149,-4.62378e-09
150,-4.87228e-09
151,-5.22562e-09
152,-5.345e-09
153,-5.417e-09
154,-5.4677e-09
155,-5.5046e-09
156,-5.19804e-09
157,-4.83119e-09
158,-4.70047e-09
159,-4.91955e-09
160,-4.8785e-09
161,-4.79817e-09
162,-4.70836e-09
163,-4.5744e-09
164,-4.59505e-09
165,-4.6335e-09
166,-4.51279e-09
167,-4.51746e-09
168,-4.43955e-09
169,-4.38865e-09
170,-4.29297e-09
171,-4.26503e-09
172,-4.2555e-09
173,-4.12884e-09
174,-3.95903e-09
175,-3.71491e-09
176,-3.86707e-09
177,-4.03158e-09
178,-4.13495e-09
179,-4.24048e-09
180,-4.0607e-09
181,-4.0571e-09
182,-4.44205e-09
183,-4.57205e-09
184,-4.48833e-09
185,-4.46212e-09
186,-4.22605e-09
187,-4.06518e-09
188,-4.00122e-09
189,-3.98802e-09
190,-3.94395e-09
191,-3.98585e-09
192,-4.03659e-09
193,-4.09617e-09
194,-4.0769e-09
195,-4.14905e-09
196,-4.22244e-09
197,-4.3111e-09
198,-4.30799e-09
199,-4.3884e-09
200,-4.3726e-09
201,-4.3515e-09
202,-4.3946e-09
203,-4.47023e-09
204,-4.43766e-09
205,-4.53313e-09
206,-4.69958e-09
207,-4.76731e-09
208,-4.76705e-09
209,-4.73739e-09
210,-4.87337e-09
211,-4.84803e-09
212,-4.99798e-09
213,-5.18919e-09
214,-5.31641e-09
215,-5.30969e-09
216,-5.20097e-09
217,-5.34274e-09
218,-5.38115e-09
219,-5.64286e-09
220,-5.77781e-09
221,-5.77853e-09
222,-5.71519e-09
223,-5.79049e-09
224,-5.96357e-09
225,-6.09117e-09
226,-6.14896e-09
227,-6.21013e-09
228,-6.26809e-09
229,-6.22313e-09
230,-6.214e-09
231,-6.16966e-09
232,-6.06623e-09
233,-5.92338e-09
234,-5.95123e-09
235,-6.02728e-09
236,-5.97544e-09
237,-5.97563e-09
238,-5.93282e-09
239,-5.97859e-09
240,-5.95231e-09
241,-6.05665e-09
242,-6.0727e-09
243,-6.12846e-09
244,-6.18128e-09
245,-6.24019e-09
246,-6.40251e-09
247,-6.55553e-09
248,-6.52586e-09
249,-6.57933e-09
250,-6.5711e-09
251,-6.52768e-09
252,-6.48392e-09
253,-6.92914e-09
254,-6.84172e-09
255,-6.82319e-09
256,-6.62189e-09
257,-6.44646e-09
258,-6.43839e-09
259,-6.53128e-09
260,-6.58065e-09
261,-6.65371e-09
262,-6.86144e-09
263,-6.86074e-09
264,-6.90909e-09
265,-7.04662e-09
266,-7.11521e-09
267,-7.1797e-09
268,-7.36155e-09
269,-7.33035e-09
270,-6.90824e-09
271,-7.06579e-09
272,-7.17828e-09
273,-7.20065e-09
274,-7.22949e-09
275,-7.15384e-09
276,-7.07106e-09
277,-7.20532e-09
278,-7.21068e-09
279,-7.218e-09
280,-7.06964e-09
281,-7.16247e-09
282,-7.48458e-09
283,-7.41682e-09
284,-7.52493e-09
285,-7.54072e-09
286,-7.755e-09
287,-8.03976e-09
288,-8.15691e-09
289,-8.16983e-09
290,-8.17586e-09
291,-8.17365e-09
292,-8.17074e-09
293,-8.2164e-09
294,-8.09239e-09
295,-7.9906e-09
296,-7.87124e-09
297,-7.83797e-09
298,-7.59912e-09
299,-7.5321e-09
300,-7.44324e-09
301,-7.41924e-09
302,-7.23335e-09
303,-7.11249e-09
304,-7.12258e-09
305,-7.01488e-09
306,-6.99357e-09
307,-6.91708e-09
308,-7.10589e-09
309,-7.11644e-09
310,-7.04392e-09
311,-7.02491e-09
312,-6.93874e-09
313,-6.93652e-09
314,-6.92457e-09
315,-6.91027e-09
316,-6.92078e-09
317,-7.05988e-09
318,-7.0054e-09
319,-7.06675e-09
320,-7.09539e-09
321,-7.18838e-09
322,-7.16255e-09
323,-7.10037e-09
324,-7.15128e-09
325,-7.04053e-09
326,-7.11883e-09
327,-7.04737e-09
328,-6.89597e-09
329,-6.84007e-09
330,-6.84846e-09
331,-6.94756e-09
332,-7.10646e-09
333,-7.04946e-09
334,-7.20355e-09
335,-7.0975e-09
336,-7.24166e-09
337,-7.23505e-09
338,-7.25416e-09
339,-7.31754e-09
340,-7.33981e-09
341,-7.26995e-09
342,-7.2403e-09
343,-7.46188e-09
344,-7.57887e-09
345,-7.61839e-09
346,-7.55463e-09
347,-7.47693e-09
348,-7.38531e-09
349,-7.36844e-09
350,-7.39407e-09
351,-7.34792e-09
352,-7.36433e-09
353,-7.52651e-09
354,-7.4686e-09
355,-7.41844e-09
356,-7.40979e-09
357,-7.09791e-09
358,-7.02492e-09
359,-7.30069e-09
360,-7.3721e-09
361,-7.36956e-09
362,-7.41656e-09
363,-7.45139e-09
364,-7.40629e-09
365,-7.51149e-09
366,-7.61217e-09
367,-7.61106e-09
368,-7.65572e-09
369,-7.67201e-09
370,-7.84533e-09
371,-7.78671e-09
372,-7.65528e-09
373,-7.46551e-09
374,-7.58612e-09
