i,j,value
-31,-31,0
-31,-30,0
-31,-29,0
-31,-28,0
-31,-27,0
-31,-26,0
-31,-25,0
-31,-24,0
-31,-23,0
-31,-22,0
-31,-21,0
-31,-20,0
-31,-19,0
-31,-18,0
-31,-17,0
-31,-16,0
-31,-15,0
-31,-14,0
-31,-13,0
-31,-12,0
-31,-11,0
-31,-10,0
-31,-9,0
-31,-8,0
-31,-7,0
-31,-6,0
-31,-5,0
-31,-4,0
-31,-3,0
-31,-2,0
-31,-1,0
-31,0,0
-31,1,0
-31,2,0
-31,3,0
-31,4,0
-31,5,0
-31,6,0
-31,7,0
-31,8,0
-31,9,0
-31,10,0
-31,11,0
-31,12,0
-31,13,0
-31,14,0
-31,15,0
-31,16,0
-31,17,0
-31,18,0
-31,19,0
-31,20,0
-31,21,0
-31,22,0
-31,23,0
-31,24,0
-31,25,0
-31,26,0
-31,27,0
-31,28,0
-31,29,0
-31,30,0
-31,31,0
-30,-31,0
-30,-30,-0.00408165
-30,-29,-0.00819651
-30,-28,-0.0123727
-30,-27,-0.0166377
-30,-26,-0.0210174
-30,-25,-0.0255365
-30,-24,-0.0302171
-30,-23,-0.0350787
-30,-22,-0.0401374
-30,-21,-0.0454052
-30,-20,-0.0508893
-30,-19,-0.0565912
-30,-18,-0.062506
-30,-17,-0.0686214
-30,-16,-0.074917
-30,-15,-0.0813639
-30,-14,-0.0879235
-30,-13,-0.0945478
-30,-12,-0.101179
-30,-11,-0.107749
-30,-10,-0.114184
-30,-9,-0.120399
-30,-8,-0.126305
-30,-7,-0.131811
-30,-6,-0.136825
-30,-5,-0.141255
-30,-4,-0.145018
-30,-3,-0.148039
-30,-2,-0.150256
-30,-1,-0.151623
-30,0,-0.152109
-30,1,-0.151707
-30,2,-0.150423
-30,3,-0.148288
-30,4,-0.145347
-30,5,-0.141661
-30,6,-0.137305
-30,7,-0.132362
-30,8,-0.126921
-30,9,-0.121075
-30,10,-0.114916
-30,11,-0.10853
-30,12,-0.102002
-30,13,-0.0954061
-30,14,-0.0888097
-30,15,-0.0822701
-30,16,-0.075835
-30,17,-0.0695427
-30,18,-0.063422
-30,19,-0.0574929
-30,20,-0.0517675
-30,21,-0.0462506
-30,22,-0.0409406
-30,23,-0.0358302
-30,24,-0.0309074
-30,25,-0.0261561
-30,26,-0.0215568
-30,27,-0.0170874
-30,28,-0.0127235
-30,29,-0.00843927
-30,30,-0.0042074
-30,31,0
-29,-31,0
-29,-30,-0.00814858
-29,-29,-0.0163638
-29,-28,-0.0247025
-29,-27,-0.0332196
-29,-26,-0.0419678
-29,-25,-0.0509966
-29,-24,-0.0603509
-29,-23,-0.0700704
-29,-22,-0.0801878
-29,-21,-0.0907279
-29,-20,-0.101706
-29,-19,-0.113125
-29,-18,-0.124978
-29,-17,-0.137239
-29,-16,-0.149868
-29,-15,-0.16281
-29,-14,-0.175985
-29,-13,-0.189299
-29,-12,-0.202636
-29,-11,-0.21586
-29,-10,-0.228818
-29,-9,-0.241341
-29,-8,-0.253251
-29,-7,-0.264361
-29,-6,-0.27448
-29,-5,-0.283427
-29,-4,-0.29103
-29,-3,-0.297136
-29,-2,-0.301617
-29,-1,-0.30438
-29,0,-0.305363
-29,1,-0.304546
-29,2,-0.301949
-29,3,-0.29763
-29,4,-0.291683
-29,5,-0.284233
-29,6,-0.275433
-29,7,-0.265452
-29,8,-0.254473
-29,9,-0.242684
-29,10,-0.230269
-29,11,-0.217408
-29,12,-0.204268
-29,13,-0.191001
-29,14,-0.177742
-29,15,-0.164606
-29,16,-0.151689
-29,17,-0.139066
-29,18,-0.126794
-29,19,-0.114913
-29,20,-0.103447
-29,21,-0.0924044
-29,22,-0.0817806
-29,23,-0.0715607
-29,24,-0.0617199
-29,25,-0.0522253
-29,26,-0.0430374
-29,27,-0.0341115
