i,j,value
-27,-23,0.000221312
-27,-22,0.000292861
-27,-21,0.000381719
-27,-20,0.000490324
-27,-19,0.000620931
-27,-18,0.000775452
-27,-17,0.000955278
-27,-16,0.0011611
-27,-15,0.00139273
-27,-14,0.001649
-27,-13,0.00192758
-27,-12,0.00222501
-27,-11,0.00253667
-27,-10,0.00285687
-27,-9,0.00317902
-27,-8,0.00349583
-27,-7,0.00379961
-27,-6,0.00408258
-27,-5,0.00433723
-27,-4,0.00455665
-27,-3,0.00473483
-27,-2,0.00486697
-27,-1,0.00494967
-27,0,0.0049811
-27,1,0.00496102
-27,2,0.00489076
-27,3,0.00477316
-27,4,0.00461234
-27,5,0.00441349
-27,6,0.00418262
-27,7,0.00392624
-27,8,0.00365112
-27,9,0.00336396
-27,10,0.00307118
-27,11,0.00277872
-27,12,0.00249183
-27,13,0.00221503
-27,14,0.00195198
-27,15,0.0017055
-27,16,0.00147758
-27,17,0.00126942
-27,18,0.00108153
-27,19,0.000913809
-27,20,0.000765621
-27,21,0.000635929
-27,22,0.00052337
-27,23,0.000426345
-27,24,0.000343084
-27,25,0.000271709
-27,26,0.000210271
-27,27,0.000156778
-27,28,0.000109209
-27,29,6.55156e-05
-27,30,2.36213e-05
-27,31,0
-26,-31,0
-26,-30,1.86294e-05
-26,-29,3.48631e-05
-26,-28,5.55496e-05
-26,-27,8.25254e-05
-26,-26,0.000117906
-26,-25,0.000164102
-26,-24,0.000223814
-26,-23,0.00029999
-26,-22,0.000395757
-26,-21,0.00051431
-26,-20,0.000658759
-26,-19,0.000831953
-26,-18,0.00103626
-26,-17,0.00127337
-26,-16,0.001544
-26,-15,0.00184778
-26,-14,0.00218298
-26,-13,0.00254644
-26,-12,0.00293352
-26,-11,0.00333809
-26,-10,0.00375269
-26,-9,0.00416872
-26,-8,0.00457675
-26,-7,0.00496686
-26,-6,0.00532907
-26,-5,0.00565378
-26,-4,0.00593222
-26,-3,0.00615681
-26,-2,0.00632155
-26,-1,0.00642227
-26,0,0.00645679
-26,1,0.006425
-26,2,0.00632878
-26,3,0.00617193
-26,4,0.00595987
-26,5,0.00569936
-26,6,0.0053982
-26,7,0.00506479
