iteration,S
0,-0
1,-2.27527
2,-5.92861
3,-9.40095
4,-12.2981
5,-15.4168
6,-18.9299
7,-21.8367
8,-23.4696
9,-26.5969
10,-29.8182
11,-32.495
12,-35.2385
13,-37.6528
14,-40.193
15,-42.1576
16,-43.8062
17,-45.8099
18,-48.0332
19,-49.5674
20,-51.6028
21,-53.6387
22,-55.1977
23,-56.8212
24,-58.6776
25,-60.2037
26,-62.2586
27,-65.043
28,-67.4955
29,-69.5173
30,-71.8002
31,-74.1258
32,-76.6581
33,-78.6956
34,-80.5381
35,-82.1032
36,-83.8771
37,-86.2299
38,-87.6778
39,-89.6778
40,-91.5523
41,-92.8589
42,-94.6409
43,-95.8315
44,-97.7757
45,-99.8049
46,-101.471
47,-102.821
48,-104.355
49,-106.026
50,-107.061
51,-108.764
52,-109.87
53,-111.03
54,-112.329
55,-113.815
56,-115.003
57,-116.249
58,-116.978
59,-118.359
60,-119.363
61,-121.007
62,-122.61
63,-123.61
64,-124.645
65,-125.402
66,-126.59
67,-127.484
68,-128.041
69,-129.073
70,-129.985
71,-130.864
72,-131.554
73,-132.731
74,-133.682
75,-134.252
76,-135.31
77,-136.35
78,-137.239
79,-138.245
80,-138.878
81,-139.631
82,-140.474
83,-141.106
84,-141.72
85,-142.491
86,-143.226
87,-144.094
88,-144.921
89,-145.631
90,-146.327
91,-146.982
92,-147.585
93,-148.014
94,-149.101
95,-149.817
96,-150.519
97,-151.06
98,-151.736
99,-152.263
100,-152.864
101,-153.447
102,-153.973
103,-154.55
104,-154.991
105,-155.301
106,-155.788
107,-156.318
108,-156.744
109,-157.216
110,-157.745
111,-158.248
112,-158.841
113,-159.327
114,-159.853
115,-160.369
116,-160.895
117,-161.443
118,-161.728
119,-162.318
120,-162.652
121,-162.986
122,-163.382
123,-163.743
124,-164.35
125,-164.811
126,-165.025
127,-165.354
128,-165.642
129,-166.089
130,-166.524
131,-166.775
132,-167.168
133,-167.515
134,-167.844
135,-168.251
136,-168.667
137,-169.089
138,-169.481
139,-169.793
140,-170.127
141,-170.582
142,-170.886
143,-171.247
144,-171.539
145,-171.886
146,-172.178
147,-172.545
148,-172.858
149,-173.086
150,-173.362
151,-173.688
152,-173.874
153,-174.087
154,-174.276
155,-174.661
156,-174.951
157,-175.18
158,-175.455
159,-175.667
160,-175.962
161,-176.241
162,-176.461
163,-176.824
164,-177.065
165,-177.348
166,-177.607
167,-177.915
168,-178.239
169,-178.476
170,-178.702
171,-178.994
172,-179.322
173,-179.505
174,-179.757
175,-180.006
176,-180.221
177,-180.438
178,-180.615
179,-180.916
180,-181.161
181,-181.363
182,-181.593
183,-181.736
184,-181.924
185,-182.085
186,-182.318
187,-182.475
188,-182.632
189,-182.722
190,-182.884
191,-183.05
192,-183.206
193,-183.408
194,-183.577
195,-183.699
196,-183.817
197,-183.978
198,-184.161
199,-184.329
200,-184.478
201,-184.64
202,-184.774
203,-184.996
204,-185.148
205,-185.289
206,-185.44
207,-185.591
208,-185.771
209,-185.983
210,-186.073
211,-186.267
212,-186.462
213,-186.687
214,-186.855
215,-187.046
216,-187.189
217,-187.338
218,-187.496
219,-187.704
220,-187.907
221,-188.018
222,-188.178
223,-188.298
224,-188.418
225,-188.584
226,-188.726
227,-188.83
228,-188.99
229,-189.117
230,-189.252
231,-189.358
232,-189.525
233,-189.64
234,-189.779
235,-189.889
236,-190.033
237,-190.168
238,-190.329
239,-190.435
240,-190.567
241,-190.694
242,-190.784
243,-190.93
244,-191.048
245,-191.192
246,-191.313
247,-191.417
248,-191.555
249,-191.635
250,-191.752
251,-191.844
252,-191.966
253,-192.1
254,-192.226
255,-192.358
256,-192.496
257,-192.645
258,-192.759
259,-192.862
260,-192.972
261,-193.099
262,-193.233
263,-193.367
264,-193.447
265,-193.578
266,-193.713
267,-193.821
268,-193.917
269,-194.044
270,-194.172
271,-194.302
272,-194.4
273,-194.451
274,-194.523
275,-194.621
276,-194.718
277,-194.828
278,-194.94
279,-195.063
280,-195.153
281,-195.207
282,-195.307
283,-195.403
284,-195.484
285,-195.606
286,-195.714
287,-195.85
288,-195.959
289,-196.079
290,-196.18
291,-196.255
292,-196.369
293,-196.542
294,-196.644
295,-196.786
296,-196.895
297,-197.003
298,-197.13
299,-197.202
300,-197.303
301,-197.437
302,-197.503
303,-197.625
304,-197.701
305,-197.811
306,-197.907
307,-198.029
308,-198.068
309,-198.153
310,-198.24
311,-198.298
312,-198.364
313,-198.434
314,-198.498
315,-198.572
316,-198.676
317,-198.747
318,-198.806
319,-198.9
320,-198.964
321,-199.044
322,-199.118
323,-199.225
324,-199.361
325,-199.458
326,-199.571
327,-199.653
328,-199.717
329,-199.86
330,-199.951
331,-200.023
332,-200.136
333,-200.191
334,-200.28
335,-200.351
336,-200.432
337,-200.474
338,-200.559
339,-200.643
340,-200.723
341,-200.766
342,-200.833
343,-200.877
344,-200.953
345,-201.029
346,-201.129
347,-201.235
348,-201.308
349,-201.37
350,-201.42
351,-201.47
352,-201.524
353,-201.598
354,-201.669
355,-201.741
356,-201.821
357,-201.875
358,-201.978
359,-202.043
360,-202.116
361,-202.176
362,-202.258
363,-202.324
364,-202.391
365,-202.442
366,-202.499
367,-202.545
368,-202.629
369,-202.686
370,-202.74
371,-202.815
372,-202.916
373,-202.967
374,-203.049
375,-203.109
376,-203.176
377,-203.226
378,-203.295
