iteration,S
0,-0
1,-27.3155
2,-49.7829
3,-68.5588
4,-84.4619
5,-98.0881
6,-109.882
7,-120.18
8,-129.245
9,-137.28
10,-144.447
11,-150.878
12,-156.679
13,-161.935
14,-166.72
15,-171.092
16,-175.103
17,-178.795
18,-182.204
19,-185.361
20,-188.292
21,-191.022
22,-193.569
23,-195.951
24,-198.184
25,-200.281
26,-202.254
27,-204.114
28,-205.87
29,-207.53
30,-209.103
31,-210.594
32,-212.01
33,-213.357
34,-214.639
35,-215.861
36,-217.027
37,-218.141
38,-219.206
39,-220.225
40,-221.201
41,-222.138
42,-223.036
43,-223.899
44,-224.728
45,-225.526
46,-226.294
47,-227.033
48,-227.746
49,-228.434
50,-229.097
51,-229.738
52,-230.357
53,-230.956
54,-231.535
55,-232.095
56,-232.638
57,-233.163
58,-233.673
59,-234.167
60,-234.646
61,-235.111
62,-235.562
63,-236
64,-236.426
65,-236.84
66,-237.242
67,-237.633
68,-238.014
69,-238.384
70,-238.745
71,-239.096
72,-239.438
73,-239.771
74,-240.096
75,-240.412
76,-240.721
77,-241.021
78,-241.315
79,-241.601
80,-241.88
81,-242.153
82,-242.419
83,-242.679
84,-242.933
85,-243.181
86,-243.423
87,-243.659
88,-243.891
89,-244.116
90,-244.337
91,-244.553
92,-244.764
93,-244.97
94,-245.172
95,-245.37
96,-245.563
97,-245.752
98,-245.936
99,-246.117
100,-246.294
101,-246.467
102,-246.637
103,-246.803
104,-246.965
105,-247.124
106,-247.28
107,-247.432
108,-247.581
109,-247.727
110,-247.871
111,-248.011
112,-248.148
113,-248.282
114,-248.414
115,-248.543
116,-248.669
117,-248.793
118,-248.915
119,-249.033
120,-249.15
121,-249.264
122,-249.376
123,-249.485
124,-249.593
125,-249.698
126,-249.801
127,-249.902
128,-250.001
129,-250.099
130,-250.194
131,-250.287
132,-250.379
133,-250.468
134,-250.556
135,-250.642
136,-250.727
137,-250.809
138,-250.891
139,-250.97
140,-251.048
141,-251.125
142,-251.2
143,-251.273
144,-251.345
145,-251.416
146,-251.485
147,-251.553
148,-251.62
149,-251.685
150,-251.749
151,-251.812
152,-251.874
153,-251.934
154,-251.993
155,-252.051
156,-252.108
157,-252.164
158,-252.219
159,-252.273
160,-252.325
161,-252.377
162,-252.428
163,-252.477
164,-252.526
165,-252.574
166,-252.621
167,-252.667
168,-252.712
169,-252.756
170,-252.799
171,-252.842
172,-252.883
173,-252.924
174,-252.964
175,-253.004
176,-253.042
177,-253.08
178,-253.117
179,-253.153
180,-253.189
181,-253.224
182,-253.258
183,-253.292
184,-253.325
185,-253.358
186,-253.389
187,-253.42
188,-253.451
189,-253.481
190,-253.51
191,-253.539
192,-253.567
193,-253.595
194,-253.622
195,-253.649
196,-253.675
197,-253.701
198,-253.726
199,-253.751
200,-253.775
201,-253.799
202,-253.822
203,-253.845
204,-253.867
205,-253.889
206,-253.911
207,-253.932
208,-253.953
209,-253.973
210,-253.993
211,-254.012
212,-254.032
213,-254.05
214,-254.069
215,-254.087
216,-254.105
217,-254.122
218,-254.139
219,-254.156
220,-254.173
221,-254.189
222,-254.205
223,-254.22
224,-254.235
225,-254.25
226,-254.265
227,-254.279
228,-254.293
229,-254.307
230,-254.321
231,-254.334
232,-254.347
233,-254.36
234,-254.372
235,-254.385
236,-254.397
237,-254.408
238,-254.42
239,-254.431
240,-254.443
241,-254.454
242,-254.464
243,-254.475
244,-254.485
245,-254.495
246,-254.505
247,-254.515
248,-254.525
249,-254.534
250,-254.543
251,-254.552
252,-254.561
253,-254.57
254,-254.578
255,-254.587
256,-254.595
257,-254.603
258,-254.611
259,-254.619
260,-254.626
261,-254.634
262,-254.641
263,-254.648
264,-254.655
265,-254.662
266,-254.669
267,-254.675
268,-254.682
269,-254.688
270,-254.695
271,-254.701
272,-254.707
273,-254.713
274,-254.718
275,-254.724
276,-254.73
277,-254.735
278,-254.741
279,-254.746
280,-254.751
281,-254.756
282,-254.761
283,-254.766
284,-254.771
285,-254.775
286,-254.78
287,-254.784
288,-254.789
289,-254.793
290,-254.797
291,-254.802
292,-254.806
293,-254.81
294,-254.814
295,-254.817
296,-254.821
297,-254.825
298,-254.829
299,-254.832
300,-254.836
301,-254.839
302,-254.843
303,-254.846
304,-254.849
305,-254.852
306,-254.855
307,-254.858
308,-254.862
309,-254.864
310,-254.867
311,-254.87
312,-254.873
313,-254.876
314,-254.878
315,-254.881
316,-254.884
317,-254.886
318,-254.889
319,-254.891
320,-254.893
321,-254.896
322,-254.898
323,-254.9
324,-254.903
325,-254.905
326,-254.907
327,-254.909
328,-254.911
329,-254.913
330,-254.915
331,-254.917
332,-254.919
333,-254.921
334,-254.922
335,-254.924
336,-254.926
337,-254.928
338,-254.929
339,-254.931
340,-254.933
341,-254.934
342,-254.936
343,-254.937
344,-254.939
345,-254.94
346,-254.942
347,-254.943
348,-254.945
349,-254.946
350,-254.947
351,-254.949
352,-254.95
353,-254.951
354,-254.952
355,-254.954
356,-254.955
357,-254.956
358,-254.957
359,-254.958
360,-254.959
361,-254.96
362,-254.962
363,-254.963
364,-254.964
365,-254.965
366,-254.966
367,-254.967
368,-254.968
369,-254.968
370,-254.969
371,-254.97
372,-254.971
373,-254.972
374,-254.973
375,-254.974
376,-254.974
377,-254.975
378,-254.976
379,-254.977
380,-254.978
381,-254.978
382,-254.979
383,-254.98
384,-254.98
385,-254.981
386,-254.982
387,-254.982
388,-254.983
389,-254.984
390,-254.984
391,-254.985
392,-254.986
393,-254.986
394,-254.987
395,-254.987
396,-254.988
397,-254.988
398,-254.989
399,-254.99
400,-254.99
401,-254.991
402,-254.991
403,-254.992
404,-254.992
405,-254.992
406,-254.993
407,-254.993
408,-254.994
409,-254.994
410,-254.995
411,-254.995
412,-254.995
413,-254.996
414,-254.996
415,-254.997
416,-254.997
417,-254.997
418,-254.998
419,-254.998
420,-254.999
421,-254.999
422,-254.999
423,-255
424,-255
425,-255
426,-255
427,-255.001
428,-255.001
429,-255.001
430,-255.002
431,-255.002
432,-255.002
433,-255.003
434,-255.003
435,-255.003
436,-255.003
437,-255.004
438,-255.004
439,-255.004
440,-255.004
441,-255.005
442,-255.005
443,-255.005
444,-255.005
445,-255.005
446,-255.006
447,-255.006
448,-255.006
449,-255.006
450,-255.007
451,-255.007
452,-255.007
453,-255.007
454,-255.007
455,-255.007
456,-255.008
457,-255.008
458,-255.008
459,-255.008
460,-255.008
461,-255.008
462,-255.009
463,-255.009
464,-255.009
465,-255.009
466,-255.009
467,-255.009
468,-255.01
469,-255.01
470,-255.01
471,-255.01
472,-255.01
473,-255.01
474,-255.01
475,-255.01
476,-255.011
477,-255.011
478,-255.011
479,-255.011
480,-255.011
481,-255.011
482,-255.011
483,-255.011
484,-255.011
485,-255.012
486,-255.012
487,-255.012
488,-255.012
489,-255.012
490,-255.012
491,-255.012
492,-255.012
493,-255.012
494,-255.012
495,-255.013
496,-255.013
497,-255.013
498,-255.013
499,-255.013
500,-255.013
