iteration,S
0,-0
1,-2.04385
2,-4.74925
3,-7.72201
4,-9.7824
5,-12.5685
6,-15.2141
7,-17.4756
8,-18.984
9,-21.6567
10,-24.293
11,-26.8085
12,-29.0133
13,-31.0226
14,-33.0966
15,-34.9311
16,-36.2311
17,-37.9818
18,-39.6908
19,-40.9352
20,-42.7247
21,-44.3759
22,-46.0223
23,-47.5968
24,-49.5338
25,-50.8377
26,-52.5561
27,-55.0771
28,-57.1209
29,-58.6675
30,-60.4648
31,-62.4565
32,-64.6956
33,-66.7997
34,-68.5518
35,-70.2432
36,-71.879
37,-73.4704
38,-74.5809
39,-76.6631
40,-78.0983
41,-79.3586
42,-81.1893
43,-82.5497
44,-84.3141
45,-85.8565
46,-87.4134
47,-88.5868
48,-90.1122
49,-91.7747
50,-92.94
51,-94.5808
52,-95.7877
53,-97.0445
54,-98.7071
55,-100.409
56,-101.651
57,-103.118
58,-103.905
59,-105.48
60,-106.247
61,-108.075
62,-109.697
63,-110.656
64,-111.719
65,-112.574
66,-113.867
67,-114.805
68,-115.361
69,-116.483
70,-117.698
71,-118.802
72,-120.132
73,-121.273
74,-122.783
75,-123.772
76,-124.769
77,-126.218
78,-127.207
79,-128.72
80,-129.565
81,-130.465
82,-131.84
83,-132.67
84,-133.422
85,-134.264
86,-134.939
87,-135.771
88,-136.696
89,-137.841
90,-138.515
91,-139.509
92,-140.567
93,-141.192
94,-142.313
95,-143.362
96,-144.053
97,-144.648
98,-145.47
99,-145.93
100,-147.097
101,-147.871
102,-148.57
103,-149.235
104,-149.984
105,-150.507
106,-151.285
107,-152.061
108,-152.84
109,-153.478
110,-154.285
111,-155
112,-155.776
113,-156.406
114,-156.943
115,-157.583
116,-158.351
117,-158.939
118,-159.618
119,-160.292
120,-160.824
121,-161.499
122,-161.971
123,-162.728
124,-163.498
125,-164.13
126,-164.455
127,-164.889
128,-165.38
129,-165.987
130,-166.583
131,-167.045
132,-167.506
133,-168.149
134,-168.556
135,-169.065
136,-169.736
137,-170.442
138,-170.879
139,-171.226
140,-171.601
141,-172.044
142,-172.502
143,-173.01
144,-173.436
145,-173.844
146,-174.32
147,-174.725
148,-175.151
149,-175.527
150,-175.788
151,-176.244
152,-176.512
153,-176.891
154,-177.238
155,-177.599
156,-177.846
157,-178.145
158,-178.501
159,-178.886
160,-179.216
161,-179.494
162,-179.819
163,-180.209
164,-180.57
165,-180.849
166,-181.168
167,-181.572
168,-181.843
169,-182.083
170,-182.404
171,-182.67
172,-183.004
173,-183.309
174,-183.572
175,-183.906
176,-184.164
177,-184.466
178,-184.724
179,-185.001
180,-185.277
181,-185.598
182,-185.918
183,-186.222
184,-186.581
185,-186.859
186,-187.211
187,-187.483
188,-187.707
189,-187.866
190,-188.086
191,-188.367
192,-188.579
193,-188.791
194,-188.985
195,-189.156
196,-189.365
197,-189.582
198,-189.807
199,-189.991
200,-190.209
201,-190.428
202,-190.713
203,-190.968
204,-191.152
205,-191.337
206,-191.619
207,-191.828
208,-191.992
209,-192.152
210,-192.385
211,-192.609
212,-192.866
213,-193.054
214,-193.264
215,-193.401
216,-193.623
217,-193.802
218,-194.002
219,-194.178
220,-194.359
221,-194.484
222,-194.668
223,-194.872
224,-195.045
225,-195.241
226,-195.487
227,-195.627
228,-195.788
229,-195.971
230,-196.13
231,-196.274
232,-196.463
233,-196.59
234,-196.712
235,-196.838
236,-197.018
237,-197.138
238,-197.317
239,-197.486
240,-197.651
241,-197.824
242,-197.928
243,-198.062
244,-198.185
245,-198.295
246,-198.449
247,-198.547
248,-198.672
249,-198.783
250,-198.914
251,-199.04
252,-199.169
253,-199.34
254,-199.508
255,-199.676
256,-199.813
257,-199.979
258,-200.122
259,-200.223
260,-200.344
261,-200.465
262,-200.586
263,-200.724
264,-200.814
265,-200.95
266,-201.044
267,-201.137
268,-201.25
269,-201.37
270,-201.474
271,-201.628
272,-201.735
273,-201.817
274,-201.914
275,-202.021
276,-202.133
277,-202.265
278,-202.359
279,-202.5
280,-202.609
281,-202.705
282,-202.809
283,-202.887
284,-202.978
285,-203.082
286,-203.169
287,-203.285
288,-203.376
289,-203.486
290,-203.583
291,-203.662
292,-203.75
293,-203.882
294,-203.976
295,-204.06
296,-204.173
297,-204.283
298,-204.391
299,-204.479
300,-204.582
301,-204.706
302,-204.809
303,-204.909
304,-204.997
305,-205.094
306,-205.196
307,-205.262
308,-205.337
309,-205.432
310,-205.529
311,-205.619
312,-205.704
313,-205.802
314,-205.932
315,-206.048
316,-206.128
317,-206.199
318,-206.26
319,-206.355
320,-206.468
321,-206.55
322,-206.632
323,-206.725
324,-206.833
325,-206.917
326,-207.034
327,-207.1
328,-207.194
329,-207.292
330,-207.372
331,-207.434
332,-207.514
333,-207.562
334,-207.657
335,-207.735
336,-207.83
337,-207.907
338,-207.964
339,-208.032
340,-208.111
341,-208.196
342,-208.3
343,-208.383
344,-208.447
345,-208.529
346,-208.604
347,-208.715
348,-208.797
349,-208.849
350,-208.928
351,-209.025
352,-209.095
353,-209.154
354,-209.223
355,-209.287
356,-209.361
357,-209.429
358,-209.483
359,-209.547
360,-209.624
361,-209.693
362,-209.772
363,-209.826
364,-209.898
365,-209.967
366,-210.03
367,-210.114
368,-210.18
369,-210.262
370,-210.311
371,-210.382
372,-210.454
373,-210.498
374,-210.568
375,-210.626
376,-210.689
377,-210.742
378,-210.804
379,-210.851
380,-210.919
381,-210.981
382,-211.038
383,-211.127
384,-211.177
385,-211.261
386,-211.316
387,-211.386
388,-211.439
389,-211.502
390,-211.567
391,-211.626
392,-211.693
393,-211.766
394,-211.821
395,-211.867
396,-211.934
397,-211.987
398,-212.05
399,-212.113
400,-212.173
401,-212.228
402,-212.289
403,-212.366
404,-212.418
405,-212.46
406,-212.528
407,-212.567
408,-212.63
409,-212.686
410,-212.736
411,-212.769
412,-212.812
413,-212.874
414,-212.912
415,-212.971
416,-213.012
417,-213.058
418,-213.105
419,-213.176
420,-213.218
421,-213.277
422,-213.329
423,-213.38
424,-213.439
425,-213.482
426,-213.527
427,-213.585
428,-213.642
429,-213.683
430,-213.735
431,-213.793
432,-213.863
433,-213.916
434,-213.982
435,-214.019
436,-214.075
437,-214.12
438,-214.172
439,-214.234
440,-214.291
441,-214.347
442,-214.41
443,-214.478
444,-214.533
445,-214.606
446,-214.668
447,-214.717
448,-214.766
449,-214.812
450,-214.867
451,-214.908
452,-214.959
453,-215.026
454,-215.083
455,-215.129
456,-215.182
457,-215.25
458,-215.302
459,-215.347
460,-215.402
461,-215.468
462,-215.523
463,-215.567
464,-215.61
465,-215.654
466,-215.705
467,-215.745
468,-215.804
469,-215.841
470,-215.885
471,-215.921
472,-215.962
473,-216.013
474,-216.07
475,-216.115
476,-216.157
477,-216.224
478,-216.301
479,-216.351
480,-216.371
481,-216.407
482,-216.435
483,-216.487
484,-216.542
485,-216.594
486,-216.64
487,-216.698
488,-216.74
489,-216.779
490,-216.819
491,-216.856
492,-216.888
493,-216.93
494,-216.975
495,-217.017
496,-217.062
497,-217.099
498,-217.139
499,-217.186
500,-217.212
