i,j,value
-28,29,-0.000447137
-28,30,-0.000221633
-28,31,0
-27,-31,0
-27,-30,-3.76957e-05
-27,-29,-8.45778e-05
-27,-28,-0.000147355
-27,-27,-0.000234501
-27,-26,-0.000356816
-27,-25,-0.000528008
-27,-24,-0.000765261
-27,-23,-0.00108974
-27,-22,-0.00152696
-27,-21,-0.00210693
-27,-20,-0.00286395
-27,-19,-0.00383607
-27,-18,-0.00506391
-27,-17,-0.00658895
-27,-16,-0.00845121
-27,-15,-0.0106862
-27,-14,-0.0133214
-27,-13,-0.0163725
-27,-12,-0.0198393
-27,-11,-0.023702
-27,-10,-0.0279184
-27,-9,-0.0324218
-27,-8,-0.0371206
-27,-7,-0.0419005
-27,-6,-0.0466273
-27,-5,-0.0511538
-27,-4,-0.0553266
-27,-3,-0.0589956
-27,-2,-0.0620236
-27,-1,-0.0642951
-27,0,-0.0657248
-27,1,-0.0662628
-27,2,-0.0658982
-27,3,-0.064659
-27,4,-0.0626089
-27,5,-0.0598421
-27,6,-0.056476
-27,7,-0.0526426
-27,8,-0.0484799
-27,9,-0.0441242
-27,10,-0.0397031
-27,11,-0.0353301
-27,12,-0.0311013
-27,13,-0.0270932
-27,14,-0.0233628
-27,15,-0.0199478
-27,16,-0.0168692
-27,17,-0.0141331
-27,18,-0.0117334
-27,19,-0.00965475
-27,20,-0.00787514
-27,21,-0.00636798
-27,22,-0.0051042
-27,23,-0.00405379
-27,24,-0.0031869
-27,25,-0.00247468
-27,26,-0.00188963
-27,27,-0.00140577
-27,28,-0.000998424
-27,29,-0.000643911
-27,30,-0.000318952
-27,31,0
-26,-31,0
-26,-30,-5.51021e-05
-26,-29,-0.000123358
-26,-28,-0.000214416
-26,-27,-0.000340412
-26,-26,-0.000516762
-26,-25,-0.000762984
-26,-24,-0.0011035
-26,-23,-0.00156834
-26,-22,-0.00219365
-26,-21,-0.00302193
-26,-20,-0.00410175
-26,-19,-0.00548694
-26,-18,-0.007235
-26,-17,-0.00940467
-26,-16,-0.0120527
-26,-15,-0.0152294
-26,-14,-0.018974
-26,-13,-0.0233088
-26,-12,-0.0282337
-26,-11,-0.0337206
-26,-10,-0.0397095
-26,-9,-0.046105
-26,-8,-0.0527763
-26,-7,-0.0595593
-26,-6,-0.0662615
-26,-5,-0.0726711
-26,-4,-0.0785676
-26,-3,-0.0837355
-26,-2,-0.0879778
-26,-1,-0.0911299
-26,0,-0.0930711
-26,1,-0.0937333
-26,2,-0.0931048
-26,3,-0.0912306
-26,4,-0.0882074
-26,5,-0.0841752
-26,6,-0.0793064
-26,7,-0.0737931
-26,8,-0.0678346
-26,9,-0.0616261
-26,10,-0.0553485
-26,11,-0.0491613
-26,12,-0.0431981
-26,13,-0.0375642
-26,14,-0.0323361
-26,15,-0.0275638
-26,16,-0.023273
-26,17,-0.019469
-26,18,-0.0161405
-26,19,-0.0132636
-26,20,-0.0108056
-26,21,-0.00872773
-26,22,-0.00698838
-26,23,-0.00554492
-26,24,-0.00435534
-26,25,-0.00337925
-26,26,-0.00257838
-26,27,-0.00191674
-26,28,-0.00136033
-26,29,-0.000876647
-26,30,-0.000433884
-26,31,0
-25,-31,0
-25,-30,-7.79843e-05
-25,-29,-0.000174199
-25,-28,-0.000302088
-25,-27,-0.000478494
-25,-26,-0.000724742
-25,-25,-0.00106777
-25,-24,-0.00154123
-25,-23,-0.00218644
-25,-22,-0.00305313
-25,-21,-0.0041997
-25,-20,-0.00569295
-25,-19,-0.0076069
-25,-18,-0.0100207
-25,-17,-0.0130154
-25,-16,-0.0166694
-25,-15,-0.0210525
-25,-14,-0.0262194
-25,-13,-0.0322015
-25,-12,-0.0389995
-25,-11,-0.0465754
-25,-10,-0.0548466
-25,-9,-0.0636811
-25,-8,-0.0728972
-25,-7,-0.0822656
-25,-6,-0.0915173
-25,-5,-0.100355
-25,-4,-0.10847
-25,-3,-0.115558
-25,-2,-0.121344
-25,-1,-0.125598
-25,0,-0.128153
-25,1,-0.128919
-25,2,-0.127886
-25,3,-0.125123
-25,4,-0.120775
-25,5,-0.115044
-25,6,-0.108179
-25,7,-0.100453
-25,8,-0.0921473
-25,9,-0.0835331
-25,10,-0.0748606
-25,11,-0.0663479
-25,12,-0.058175
-25,13,-0.0504815
-25,14,-0.0433671
-25,15,-0.0368941
-25,16,-0.0310923
-25,17,-0.0259637
